Date,Open,High,Low,Close,Volume,Volume MA,K-line,D-line,Crossover,Crossunder
2020-03-13T19:30:00Z,258.97,259.65,253.26,255.2,854640,342708.95,NaN,NaN,NaN,NaN
2020-03-13T19:35:00Z,255.22,259.25,254.17,258.49,822961,377307.05,NaN,NaN,NaN,NaN
2020-03-13T19:40:00Z,258.44,261.25,257.53,260.82,912169,408528.2,NaN,NaN,NaN,NaN
2020-03-13T19:45:00Z,260.85,263.87,260.82,263.59,1297516,450779.4,NaN,NaN,NaN,NaN
2020-03-13T19:50:00Z,263.64,267.86,263.64,267.84,2505852,561072.75,NaN,NaN,NaN,NaN
2020-03-13T19:55:00Z,267.81,271.06,265.83,270.98,2665337,679397.15,NaN,NaN,NaN,NaN
2020-03-16T13:30:00Z,241.18,241.19,240.78,240.91,3814,665416,NaN,NaN,NaN,NaN
2020-03-16T13:45:00Z,240.91,242.9,237.37,241.93,466261,680015.65,NaN,NaN,NaN,NaN
2020-03-16T13:50:00Z,241.93,245.61,241.61,245.585,420935,687014.65,NaN,NaN,NaN,NaN
2020-03-16T13:55:00Z,245.56,247.76,245.05,245.5,572503,703992.1,NaN,NaN,NaN,NaN
2020-03-16T14:00:00Z,245.52,246.04,242.55,243,278840,699399.5,NaN,NaN,NaN,NaN
2020-03-16T14:05:00Z,243.08,246.04,243.06,246.04,329460,700616.3,NaN,NaN,NaN,NaN
2020-03-16T14:10:00Z,246.01,246.85,244.73,245.45,377067,705945.5,NaN,NaN,NaN,NaN
2020-03-16T14:15:00Z,245.42,245.66,244.02,244.41,323649,711453.7,NaN,NaN,NaN,NaN
2020-03-16T14:20:00Z,244.39,246.23,243.75,245.915,290382,697854.75,NaN,NaN,NaN,NaN
2020-03-16T14:25:00Z,245.935,247.44,245.77,245.89,443491,706768.55,NaN,NaN,NaN,NaN
2020-03-16T14:30:00Z,245.88,249.77,245.83,249.69,473652,706015.8,NaN,NaN,NaN,NaN
2020-03-16T14:35:00Z,249.715,251.7,248.53,251.62,425661,708936.05,NaN,NaN,NaN,NaN
2020-03-16T14:40:00Z,251.63,251.98,249.88,251.49,348152,707474.15,NaN,NaN,NaN,NaN
2020-03-16T14:45:00Z,251.37,252.96,251.15,251.23,318793,706556.75,NaN,NaN,NaN,NaN
2020-03-16T14:50:00Z,251.27,251.68,249.695,251.14,230548,675352.15,NaN,NaN,NaN,NaN
2020-03-16T14:55:00Z,251.18,252.02,249.95,250.77,244147,646411.45,NaN,NaN,NaN,NaN
2020-03-16T15:00:00Z,250.76,252,250.21,250.83,187572,610181.6,NaN,NaN,NaN,NaN
2020-03-16T15:05:00Z,250.72,252.77,250.39,252.68,290008,559806.2,NaN,NaN,NaN,NaN
2020-03-16T15:10:00Z,252.69,254.65,252.55,253.81,351424,452084.8,NaN,NaN,NaN,NaN
2020-03-16T15:15:00Z,253.835,255.79,253.83,255.55,239213,330778.6,NaN,NaN,NaN,NaN
2020-03-16T15:20:00Z,255.58,256.88,255.29,256.8,296557,345415.75,NaN,NaN,NaN,NaN
2020-03-16T15:25:00Z,256.83,256.89,255.28,256.06,238191,334012.25,NaN,NaN,NaN,NaN
2020-03-16T15:30:00Z,255.96,256.5,252.76,252.91,329740,329452.5,NaN,NaN,NaN,NaN
2020-03-16T15:35:00Z,252.97,254.95,252.47,254.25,245184,313086.55,NaN,NaN,NaN,NaN
2020-03-16T15:40:00Z,254.24,254.71,251.66,252.29,238736,311081.35,NaN,NaN,NaN,NaN
2020-03-16T15:45:00Z,252.27,252.62,251.53,252.61,142412,301728.95,NaN,NaN,NaN,NaN
2020-03-16T15:50:00Z,252.56,253.31,252.1,252.49,149306,290340.9,NaN,NaN,NaN,NaN
2020-03-16T15:55:00Z,252.62,254.16,251.92,254.13,224120,285364.45,NaN,NaN,NaN,NaN
2020-03-16T16:00:00Z,254.04,254.77,252.77,254.73,238298,282760.25,NaN,NaN,NaN,NaN
2020-03-16T16:05:00Z,254.71,254.73,253.33,253.59,125651,266868.25,NaN,NaN,NaN,NaN
2020-03-16T16:10:00Z,253.6,254.07,252.38,252.5,182813,252326.3,NaN,NaN,NaN,NaN
2020-03-16T16:15:00Z,252.53,252.74,250.61,250.62,127647,237425.6,NaN,NaN,NaN,NaN
2020-03-16T16:20:00Z,250.59,251.19,250.32,250.82,97500,224893,NaN,NaN,NaN,NaN
2020-03-16T16:25:00Z,250.77,252.61,250.51,251.38,148988,216402.75,NaN,NaN,NaN,NaN
2020-03-16T16:30:00Z,251.38,252.17,250.71,251.4,106954,210223.05,NaN,NaN,NaN,NaN
